trade_id,signal_type,is_long,is_trend,signal_bar,signal_ts,entry_bar,entry_ts,entry_price,sl,tp,stop_dist,atr_at_entry,exit_bar,exit_ts,exit_price,exit_reason,trail_stage,bars_held,real_pl
1,Trend Short,False,True,302,1720335600000,303,1720337400000,57264.01,57431.74282642233,56593.07869431071,167.7328264223226,279.554710703871,304,1720339200000,57369.99,SL,0,1,-134.61200499999592
2,Trend Short,False,True,335,1720395000000,336,1720396800000,55857.81,56063.721181927365,55034.16527229051,205.91118192737088,343.1853032122848,337,1720398600000,55986.0,SL,2,1,-156.11890500000231
3,Trend Long,True,True,440,1720584000000,441,1720585800000,59260.01,59031.2568153476,60175.022738609594,228.75318465239744,381.25530775399574,441,1720585800000,59031.2568153476,SL,0,0,-258.3831896523998
4,Trend Long,True,True,483,1720661400000,484,1720663200000,58280.35,58089.14237544081,59045.18049823676,191.20762455919126,318.67937426531876,484,1720663200000,58089.14237544081,SL,0,0,-220.34779955918884
5,Trend Long,True,True,491,1720675800000,492,1720677600000,57994.01,57788.2204192723,58817.16832291082,205.78958072770283,342.98263454617137,493,1720679400000,57966.19,SL,0,1,-56.81700499999971
6,Trend Short,False,True,568,1720814400000,569,1720816200000,57321.12,57535.01141630151,56465.55433479397,213.8914163015093,356.48569383584885,569,1720816200000,57535.01141630151,SL,0,0,-242.55197630150698
7,Trend Long,True,True,601,1720873800000,602,1720875600000,58768.01,58636.53199392509,59293.92202429965,131.47800607491186,219.13001012485313,602,1720875600000,58636.53199392509,SL,0,0,-160.8620110749108
8,Trend Long,True,True,621,1720909800000,622,1720911600000,59464.53,59317.51546594355,60052.5881362258,147.0145340564508,245.024223427418,622,1720911600000,59317.51546594355,SL,0,0,-176.74679905644862
9,Trend Long,True,True,653,1720967400000,654,1720969200000,60012.0,59840.5371414765,60697.85143409398,171.4628585234942,285.7714308724903,655,1720971000000,59907.98,SL,0,1,-134.0259999999968
10,Trend Long,True,True,666,1720990800000,667,1720992600000,60749.99,60584.87741024433,61410.44035902269,165.11258975567299,275.1876495927883,667,1720992600000,61410.44035902269,TP,0,0,630.0753640226886
11,Trend Long,True,True,670,1720998000000,671,1720999800000,61104.0,60906.54158496429,61893.83366014283,197.4584150357085,329.0973583928475,671,1720999800000,60906.54158496429,SL,0,0,-228.01041503571136
12,Trend Long,True,True,673,1721003400000,674,1721005200000,61212.0,61006.16826026478,62035.32695894089,205.83173973522284,343.0528995587047,675,1721007000000,61410.82,SL,2,1,168.21399999999971
13,Trend Long,True,True,676,1721008800000,677,1721010600000,62206.94,61966.27685561287,63169.59257754852,240.66314438712982,401.1052406452164,678,1721012400000,62482.0,SL,1,1,243.95652999999766
14,Trend Long,True,True,701,1721053800000,702,1721055600000,63218.06,63016.72933196003,64023.38267215988,201.33066803997045,335.55111339995074,702,1721055600000,63016.72933196003,SL,0,0,-232.93969803996916
