month,trades,wins,win_rate,total_pl,avg_pl
2024-07,42,15,35.714285714285715,-1758.3781877769584,-41.86614732802282
2024-08,47,12,25.53191489361702,-3874.6839261149457,-82.44008353436055
2024-09,42,15,35.714285714285715,-1203.3269517322574,-28.65064170791089
2024-10,44,13,29.545454545454547,-1782.4716942265163,-40.51072032332991
2024-11,32,15,46.875,843.1291081809364,26.347784630654264
2024-12,40,18,45.0,3284.747197694567,82.11867994236418
2025-01,38,13,34.21052631578947,-3930.4082786129657,-103.43179680560436
2025-02,45,13,28.888888888888886,-2965.5334606516208,-65.90074357003601
2025-03,35,9,25.71428571428571,-3647.079168583187,-104.20226195951962
2025-04,39,17,43.58974358974359,-1129.6367963369667,-28.965046059922223
2025-05,48,17,35.41666666666667,-4958.2943256259,-103.29779845053957
2025-06,32,9,28.125,-2461.8617832265745,-76.93318072583045
2025-07,36,8,22.22222222222222,-3456.398140046829,-96.01105944574526
2025-08,49,8,16.3265306122449,-6901.816301035002,-140.85339389867352
2025-09,42,14,33.33333333333333,-2946.3327010412895,-70.15077859622117
2025-10,61,17,27.86885245901639,-6161.7904974981175,-101.01295897537898
2025-11,39,17,43.58974358974359,-265.6020207902341,-6.810308225390618
2025-12,29,5,17.24137931034483,-3661.23508517997,-126.24948569586104
2026-01,48,21,43.75,1136.5382308390633,23.677879809147154
2026-02,50,18,36.0,-123.06969620777875,-2.461393924155575
2026-03,53,16,30.18867924528302,-5723.529720035234,-107.99112679311763
2026-04,33,10,30.303030303030305,-1716.2631801547327,-52.00797515620402
2026-05,41,17,41.46341463414634,-900.2681148514996,-21.957758898817062
2026-06,49,23,46.93877551020408,300.85418996276076,6.139881427811444
2026-07,31,9,29.03225806451613,-1999.1022715726883,-64.48717005073188
